t_ns,signal,voltage,value
0,SWCLK,3.100,
0,SWDIO,3.100,
0,NRST,3.100,
0,SWCLK,0.000,
0,NRST,0.000,
0,NRST,3.300,
0,SWDIO,0.000,
0,SWDIO,3.300,
0,STEP_READ_THEN_WRITE_BEGIN,3.550,0.000
0,NRST,0.000,
20005000,SWCLK,3.300,
20005000,STEP_PHASE_AwaitResetOrSeq,3.550,0.000
20010000,SWCLK,0.000,
20015000,SWCLK,3.300,
20020000,SWCLK,0.000,
20025000,SWCLK,3.300,
20030000,SWCLK,0.000,
20035000,SWCLK,3.300,
20040000,SWCLK,0.000,
20045000,SWCLK,3.300,
20050000,SWCLK,0.000,
20055000,SWCLK,3.300,
20060000,SWCLK,0.000,
20065000,SWCLK,3.300,
20070000,SWCLK,0.000,
20075000,SWCLK,3.300,
20080000,SWCLK,0.000,
20085000,SWCLK,3.300,
20090000,SWCLK,0.000,
20095000,SWCLK,3.300,
20100000,SWCLK,0.000,
20105000,SWCLK,3.300,
20110000,SWCLK,0.000,
20115000,SWCLK,3.300,
20120000,SWCLK,0.000,
20125000,SWCLK,3.300,
20130000,SWCLK,0.000,
20135000,SWCLK,3.300,
20140000,SWCLK,0.000,
20145000,SWCLK,3.300,
20150000,SWCLK,0.000,
20155000,SWCLK,3.300,
20160000,SWCLK,0.000,
20165000,SWCLK,3.300,
20170000,SWCLK,0.000,
20175000,SWCLK,3.300,
20180000,SWCLK,0.000,
20185000,SWCLK,3.300,
20190000,SWCLK,0.000,
20195000,SWCLK,3.300,
20200000,SWCLK,0.000,
20205000,SWCLK,3.300,
20210000,SWCLK,0.000,
20215000,SWCLK,3.300,
20220000,SWCLK,0.000,
20225000,SWCLK,3.300,
20230000,SWCLK,0.000,
20235000,SWCLK,3.300,
20240000,SWCLK,0.000,
20245000,SWCLK,3.300,
20250000,SWCLK,0.000,
20255000,SWCLK,3.300,
20260000,SWCLK,0.000,
20265000,SWCLK,3.300,
20270000,SWCLK,0.000,
20275000,SWCLK,3.300,
20280000,SWCLK,0.000,
20285000,SWCLK,3.300,
20290000,SWCLK,0.000,
20295000,SWCLK,3.300,
20300000,SWCLK,0.000,
20305000,SWCLK,3.300,
20310000,SWCLK,0.000,
20315000,SWCLK,3.300,
20320000,SWCLK,0.000,
20325000,SWCLK,3.300,
20330000,SWCLK,0.000,
20335000,SWCLK,3.300,
20340000,SWCLK,0.000,
20345000,SWCLK,3.300,
20350000,SWCLK,0.000,
20355000,SWCLK,3.300,
20360000,SWCLK,0.000,
20365000,SWCLK,3.300,
20370000,SWCLK,0.000,
20375000,SWCLK,3.300,
20380000,SWCLK,0.000,
20385000,SWCLK,3.300,
20390000,SWCLK,0.000,
20395000,SWCLK,3.300,
20400000,SWCLK,0.000,
20405000,SWCLK,3.300,
20410000,SWCLK,0.000,
20415000,SWCLK,3.300,
20420000,SWCLK,0.000,
20425000,SWCLK,3.300,
20430000,SWCLK,0.000,
20435000,SWCLK,3.300,
20440000,SWCLK,0.000,
20445000,SWCLK,3.300,
20450000,SWCLK,0.000,
20455000,SWCLK,3.300,
20460000,SWCLK,0.000,
20465000,SWCLK,3.300,
20470000,SWCLK,0.000,
20475000,SWCLK,3.300,
20480000,SWCLK,0.000,
20485000,SWCLK,3.300,
20490000,SWCLK,0.000,
20495000,SWCLK,3.300,
20500000,SWCLK,0.000,
20505000,SWCLK,3.300,
20510000,SWCLK,0.000,
20515000,SWCLK,3.300,
20520000,SWCLK,0.000,
20525000,SWCLK,3.300,
20530000,SWCLK,0.000,
20535000,SWCLK,3.300,
20540000,SWCLK,0.000,
20545000,SWCLK,3.300,
20550000,SWCLK,0.000,
20555000,SWCLK,3.300,
20560000,SWCLK,0.000,
20565000,SWCLK,3.300,
20570000,SWCLK,0.000,
20575000,SWCLK,3.300,
20580000,SWCLK,0.000,
20585000,SWCLK,3.300,
20590000,SWCLK,0.000,
20595000,SWCLK,3.300,
20600000,SWCLK,0.000,
20605000,SWCLK,3.300,
20610000,SWCLK,0.000,
20615000,SWCLK,3.300,
20620000,SWCLK,0.000,
20625000,SWCLK,3.300,
20630000,SWCLK,0.000,
20635000,SWCLK,3.300,
20640000,SWCLK,0.000,
20645000,SWCLK,3.300,
20650000,SWCLK,0.000,
20655000,SWCLK,3.300,
20660000,SWCLK,0.000,
20665000,SWCLK,3.300,
20670000,SWCLK,0.000,
20675000,SWCLK,3.300,
20680000,SWCLK,0.000,
20685000,SWCLK,3.300,
20690000,SWCLK,0.000,
20695000,SWCLK,3.300,
20700000,SWCLK,0.000,
20705000,SWCLK,3.300,
20710000,SWCLK,0.000,
20715000,SWCLK,3.300,
20720000,SWCLK,0.000,
20725000,SWCLK,3.300,
20730000,SWCLK,0.000,
20735000,SWCLK,3.300,
20740000,SWCLK,0.000,
20745000,SWCLK,3.300,
20750000,SWCLK,0.000,
20755000,SWCLK,3.300,
20760000,SWCLK,0.000,
20765000,SWCLK,3.300,
20770000,SWCLK,0.000,
20775000,SWCLK,3.300,
20780000,SWCLK,0.000,
20785000,SWCLK,3.300,
20790000,SWCLK,0.000,
20795000,SWCLK,3.300,
20800000,SWCLK,0.000,
20800000,SWDIO,0.000,
20805000,SWCLK,3.300,
20805000,SWDIO_SAMPLE_T,3.420,1.000
20810000,SWCLK,0.000,
20810000,SWDIO,3.300,
20815000,SWCLK,3.300,
20815000,STEP_PHASE_CollectSeq,3.550,1.000
20815000,SWDIO_SAMPLE_T,3.420,2.000
20820000,SWCLK,0.000,
20825000,SWCLK,3.300,
20825000,SWDIO_SAMPLE_T,3.420,3.000
20830000,SWCLK,0.000,
20835000,SWCLK,3.300,
20835000,SWDIO_SAMPLE_T,3.420,4.000
20840000,SWCLK,0.000,
20845000,SWCLK,3.300,
20845000,SWDIO_SAMPLE_T,3.420,5.000
20850000,SWCLK,0.000,
20850000,SWDIO,0.000,
20855000,SWCLK,3.300,
20855000,SWDIO_SAMPLE_T,3.420,6.000
20860000,SWCLK,0.000,
20865000,SWCLK,3.300,
20865000,SWDIO_SAMPLE_T,3.420,7.000
20870000,SWCLK,0.000,
20870000,SWDIO,3.300,
20875000,SWCLK,3.300,
20875000,SWDIO_SAMPLE_T,3.420,8.000
20880000,SWCLK,0.000,
20885000,SWCLK,3.300,
20885000,SWDIO_SAMPLE_T,3.420,9.000
20890000,SWCLK,0.000,
20895000,SWCLK,3.300,
20895000,SWDIO_SAMPLE_T,3.420,10.000
20900000,SWCLK,0.000,
20905000,SWCLK,3.300,
20905000,SWDIO_SAMPLE_T,3.420,11.000
20910000,SWCLK,0.000,
20910000,SWDIO,0.000,
20915000,SWCLK,3.300,
20915000,SWDIO_SAMPLE_T,3.420,12.000
20920000,SWCLK,0.000,
20925000,SWCLK,3.300,
20925000,SWDIO_SAMPLE_T,3.420,13.000
20930000,SWCLK,0.000,
20930000,SWDIO,3.300,
20935000,SWCLK,3.300,
20935000,SWDIO_SAMPLE_T,3.420,14.000
20940000,SWCLK,0.000,
20945000,SWCLK,3.300,
20945000,SWDIO_SAMPLE_T,3.420,15.000
20950000,SWCLK,0.000,
20955000,SWCLK,3.300,
20955000,SWDIO_SAMPLE_T,3.420,16.000
20960000,SWCLK,0.000,
20965000,SWCLK,3.300,
20965000,SWDIO_SAMPLE_T,3.420,1.000
20970000,SWCLK,0.000,
20975000,SWCLK,3.300,
20975000,SWDIO_SAMPLE_T,3.420,2.000
20980000,SWCLK,0.000,
20985000,SWCLK,3.300,
20985000,SWDIO_SAMPLE_T,3.420,3.000
20990000,SWCLK,0.000,
20995000,SWCLK,3.300,
20995000,SWDIO_SAMPLE_T,3.420,4.000
21000000,SWCLK,0.000,
21005000,SWCLK,3.300,
21005000,SWDIO_SAMPLE_T,3.420,5.000
21010000,SWCLK,0.000,
21015000,SWCLK,3.300,
21015000,SWDIO_SAMPLE_T,3.420,6.000
21020000,SWCLK,0.000,
21025000,SWCLK,3.300,
21025000,SWDIO_SAMPLE_T,3.420,7.000
21030000,SWCLK,0.000,
21035000,SWCLK,3.300,
21035000,SWDIO_SAMPLE_T,3.420,8.000
21040000,SWCLK,0.000,
21045000,SWCLK,3.300,
21045000,SWDIO_SAMPLE_T,3.420,1.000
21050000,SWCLK,0.000,
21055000,SWCLK,3.300,
21055000,SWDIO_SAMPLE_T,3.420,2.000
21060000,SWCLK,0.000,
21065000,SWCLK,3.300,
21065000,SWDIO_SAMPLE_T,3.420,3.000
21070000,SWCLK,0.000,
21075000,SWCLK,3.300,
21075000,SWDIO_SAMPLE_T,3.420,4.000
21080000,SWCLK,0.000,
21085000,SWCLK,3.300,
21085000,SWDIO_SAMPLE_T,3.420,5.000
21090000,SWCLK,0.000,
21095000,SWCLK,3.300,
21095000,SWDIO_SAMPLE_T,3.420,6.000
21100000,SWCLK,0.000,
21105000,SWCLK,3.300,
21105000,SWDIO_SAMPLE_T,3.420,7.000
21110000,SWCLK,0.000,
21115000,SWCLK,3.300,
21115000,SWDIO_SAMPLE_T,3.420,8.000
21120000,SWCLK,0.000,
21125000,SWCLK,3.300,
21125000,SWDIO_SAMPLE_T,3.420,1.000
21130000,SWCLK,0.000,
21135000,SWCLK,3.300,
21135000,SWDIO_SAMPLE_T,3.420,2.000
21140000,SWCLK,0.000,
21145000,SWCLK,3.300,
21145000,SWDIO_SAMPLE_T,3.420,3.000
21150000,SWCLK,0.000,
21155000,SWCLK,3.300,
21155000,SWDIO_SAMPLE_T,3.420,4.000
21160000,SWCLK,0.000,
21165000,SWCLK,3.300,
21165000,SWDIO_SAMPLE_T,3.420,5.000
21170000,SWCLK,0.000,
21175000,SWCLK,3.300,
21175000,SWDIO_SAMPLE_T,3.420,6.000
21180000,SWCLK,0.000,
21185000,SWCLK,3.300,
21185000,SWDIO_SAMPLE_T,3.420,7.000
21190000,SWCLK,0.000,
21195000,SWCLK,3.300,
21195000,SWDIO_SAMPLE_T,3.420,8.000
21200000,SWCLK,0.000,
21205000,SWCLK,3.300,
21205000,SWDIO_SAMPLE_T,3.420,1.000
21210000,SWCLK,0.000,
21215000,SWCLK,3.300,
21215000,SWDIO_SAMPLE_T,3.420,2.000
21220000,SWCLK,0.000,
21225000,SWCLK,3.300,
21225000,SWDIO_SAMPLE_T,3.420,3.000
21230000,SWCLK,0.000,
21235000,SWCLK,3.300,
21235000,SWDIO_SAMPLE_T,3.420,4.000
21240000,SWCLK,0.000,
21245000,SWCLK,3.300,
21245000,SWDIO_SAMPLE_T,3.420,5.000
21250000,SWCLK,0.000,
21255000,SWCLK,3.300,
21255000,SWDIO_SAMPLE_T,3.420,6.000
21260000,SWCLK,0.000,
21265000,SWCLK,3.300,
21265000,SWDIO_SAMPLE_T,3.420,7.000
21270000,SWCLK,0.000,
21275000,SWCLK,3.300,
21275000,SWDIO_SAMPLE_T,3.420,8.000
21280000,SWCLK,0.000,
21285000,SWCLK,3.300,
21285000,SWDIO_SAMPLE_T,3.420,1.000
21290000,SWCLK,0.000,
21295000,SWCLK,3.300,
21295000,SWDIO_SAMPLE_T,3.420,2.000
21300000,SWCLK,0.000,
21305000,SWCLK,3.300,
21305000,SWDIO_SAMPLE_T,3.420,3.000
21310000,SWCLK,0.000,
21315000,SWCLK,3.300,
21315000,SWDIO_SAMPLE_T,3.420,4.000
21320000,SWCLK,0.000,
21325000,SWCLK,3.300,
21325000,SWDIO_SAMPLE_T,3.420,5.000
21330000,SWCLK,0.000,
21335000,SWCLK,3.300,
21335000,SWDIO_SAMPLE_T,3.420,6.000
21340000,SWCLK,0.000,
21345000,SWCLK,3.300,
21345000,SWDIO_SAMPLE_T,3.420,7.000
21350000,SWCLK,0.000,
21355000,SWCLK,3.300,
21355000,SWDIO_SAMPLE_T,3.420,8.000
21360000,SWCLK,0.000,
21365000,SWCLK,3.300,
21365000,SWDIO_SAMPLE_T,3.420,1.000
21370000,SWCLK,0.000,
21375000,SWCLK,3.300,
21375000,SWDIO_SAMPLE_T,3.420,2.000
21380000,SWCLK,0.000,
21385000,SWCLK,3.300,
21385000,SWDIO_SAMPLE_T,3.420,3.000
21390000,SWCLK,0.000,
21395000,SWCLK,3.300,
21395000,SWDIO_SAMPLE_T,3.420,4.000
21400000,SWCLK,0.000,
21405000,SWCLK,3.300,
21405000,SWDIO_SAMPLE_T,3.420,5.000
21410000,SWCLK,0.000,
21415000,SWCLK,3.300,
21415000,SWDIO_SAMPLE_T,3.420,6.000
21420000,SWCLK,0.000,
21425000,SWCLK,3.300,
21430000,SWCLK,0.000,
21435000,SWCLK,3.300,
21440000,SWCLK,0.000,
21445000,SWCLK,3.300,
21450000,SWCLK,0.000,
21455000,SWCLK,3.300,
21460000,SWCLK,0.000,
21465000,SWCLK,3.300,
21470000,SWCLK,0.000,
21475000,SWCLK,3.300,
21480000,SWCLK,0.000,
21485000,SWCLK,3.300,
21490000,SWCLK,0.000,
21495000,SWCLK,3.300,
21500000,SWCLK,0.000,
21505000,SWCLK,3.300,
21510000,SWCLK,0.000,
21515000,SWCLK,3.300,
21520000,SWCLK,0.000,
21525000,SWCLK,3.300,
21530000,SWCLK,0.000,
21535000,SWCLK,3.300,
21540000,SWCLK,0.000,
21545000,SWCLK,3.300,
21550000,SWCLK,0.000,
21555000,SWCLK,3.300,
21560000,SWCLK,0.000,
21565000,SWCLK,3.300,
21570000,SWCLK,0.000,
21575000,SWCLK,3.300,
21580000,SWCLK,0.000,
21585000,SWCLK,3.300,
21590000,SWCLK,0.000,
21595000,SWCLK,3.300,
21600000,SWCLK,0.000,
21605000,SWCLK,3.300,
21610000,SWCLK,0.000,
21615000,SWCLK,3.300,
21620000,SWCLK,0.000,
21625000,SWCLK,3.300,
21630000,SWCLK,0.000,
21635000,SWCLK,3.300,
21640000,SWCLK,0.000,
21645000,SWCLK,3.300,
21650000,SWCLK,0.000,
21655000,SWCLK,3.300,
21660000,SWCLK,0.000,
21665000,SWCLK,3.300,
21670000,SWCLK,0.000,
21675000,SWCLK,3.300,
21680000,SWCLK,0.000,
21685000,SWCLK,3.300,
21690000,SWCLK,0.000,
21695000,SWCLK,3.300,
21700000,SWCLK,0.000,
21705000,SWCLK,3.300,
21710000,SWCLK,0.000,
21715000,SWCLK,3.300,
21720000,SWCLK,0.000,
21725000,SWCLK,3.300,
21730000,SWCLK,0.000,
21735000,SWCLK,3.300,
21740000,SWCLK,0.000,
21745000,SWCLK,3.300,
21750000,SWCLK,0.000,
21755000,SWCLK,3.300,
21760000,SWCLK,0.000,
